layer,train_accuracy,train_f1,train_auroc,val_accuracy,val_f1,val_auroc,test_accuracy,test_f1,test_auroc
0,1.0,1.0,1.0,0.8333333333333334,0.8571428571428571,0.9722222222222223,0.8461538461538461,0.8333333333333334,0.9523809523809524
1,1.0,1.0,1.0,0.9166666666666666,0.9230769230769231,0.9722222222222223,0.8461538461538461,0.8333333333333334,0.9047619047619047
2,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.9166666666666667,0.9230769230769231,0.9230769230769231,0.9523809523809524
3,1.0,1.0,1.0,0.9166666666666666,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.9230769230769231,0.9047619047619049
5,1.0,1.0,1.0,1.0,1.0,1.0,0.8461538461538461,0.8333333333333334,0.9761904761904763
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,0.9166666666666666,0.9230769230769231,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,0.9166666666666666,0.9230769230769231,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,0.9166666666666666,0.9230769230769231,0.9722222222222223,0.9230769230769231,0.9090909090909091,1.0
11,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.9230769230769231,0.9090909090909091,1.0
